"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1048576,123456,1,parallel,1,171.085168
seq,uniform-random,1048576,123456,1,parallel,2,173.734058
seq,uniform-random,1048576,123456,1,drake,1,200.077756
seq,uniform-random,1048576,123456,1,drake,2,196.112313
seq,uniform-random,1048576,123456,2,parallel,1,238.498261
seq,uniform-random,1048576,123456,2,parallel,2,187.245802
seq,uniform-random,1048576,123456,2,drake,1,233.610602
seq,uniform-random,1048576,123456,2,drake,2,187.093542
seq,uniform-random,4194304,123456,1,parallel,1,776.973678
seq,uniform-random,4194304,123456,1,parallel,2,806.610365
seq,uniform-random,4194304,123456,1,drake,1,803.188026
seq,uniform-random,4194304,123456,1,drake,2,864.040285
seq,uniform-random,4194304,123456,2,parallel,1,782.833141
seq,uniform-random,4194304,123456,2,parallel,2,738.749294
seq,uniform-random,4194304,123456,2,drake,1,869.339323
seq,uniform-random,4194304,123456,2,drake,2,807.552625
seq,uniform-random,16777216,123456,1,parallel,1,3243.750319
seq,uniform-random,16777216,123456,1,parallel,2,3045.022079
seq,uniform-random,16777216,123456,1,drake,1,3520.961374
seq,uniform-random,16777216,123456,1,drake,2,3468.781599
seq,uniform-random,16777216,123456,2,parallel,1,3304.091104
seq,uniform-random,16777216,123456,2,parallel,2,3102.718306
seq,uniform-random,16777216,123456,2,drake,1,3458.437468
seq,uniform-random,16777216,123456,2,drake,2,3573.080163
seq,increasing,1048576,123456,1,parallel,1,111.789583
seq,increasing,1048576,123456,1,parallel,2,78.299972
seq,increasing,1048576,123456,1,drake,1,107.639473
seq,increasing,1048576,123456,1,drake,2,95.041914
seq,increasing,4194304,123456,1,parallel,1,419.526857
seq,increasing,4194304,123456,1,parallel,2,290.084011
seq,increasing,4194304,123456,1,drake,1,392.279871
seq,increasing,4194304,123456,1,drake,2,398.908103
seq,increasing,16777216,123456,1,parallel,1,1318.518226
seq,increasing,16777216,123456,1,parallel,2,1213.844174
seq,increasing,16777216,123456,1,drake,1,1805.670639
seq,increasing,16777216,123456,1,drake,2,1738.399538
seq,decreasing,1048576,123456,1,parallel,1,152.490202
seq,decreasing,1048576,123456,1,parallel,2,111.835820
seq,decreasing,1048576,123456,1,drake,1,129.111996
seq,decreasing,1048576,123456,1,drake,2,131.716675
seq,decreasing,4194304,123456,1,parallel,1,541.794733
seq,decreasing,4194304,123456,1,parallel,2,449.940973
seq,decreasing,4194304,123456,1,drake,1,612.341011
seq,decreasing,4194304,123456,1,drake,2,606.024561
seq,decreasing,16777216,123456,1,parallel,1,1939.097154
seq,decreasing,16777216,123456,1,parallel,2,1853.870928
seq,decreasing,16777216,123456,1,drake,1,2294.081980
seq,decreasing,16777216,123456,1,drake,2,2460.852624
seq,constant,1048576,123456,1,parallel,1,3.905448
seq,constant,1048576,123456,1,parallel,2,3.058732
seq,constant,1048576,123456,1,drake,1,5.720544
seq,constant,1048576,123456,1,drake,2,5.039568
seq,constant,4194304,123456,1,parallel,1,22.792847
seq,constant,4194304,123456,1,parallel,2,12.388238
seq,constant,4194304,123456,1,drake,1,20.000148
seq,constant,4194304,123456,1,drake,2,20.912237
seq,constant,16777216,123456,1,parallel,1,84.914305
seq,constant,16777216,123456,1,parallel,2,42.763103
seq,constant,16777216,123456,1,drake,1,76.503313
seq,constant,16777216,123456,1,drake,2,80.596639
1,uniform-random,1048576,123456,1,parallel,1,169.944898
1,uniform-random,1048576,123456,1,parallel,2,178.330188
1,uniform-random,1048576,123456,1,drake,1,191.488731
1,uniform-random,1048576,123456,1,drake,2,187.462175
1,uniform-random,1048576,123456,2,parallel,1,183.870465
1,uniform-random,1048576,123456,2,parallel,2,177.227636
1,uniform-random,1048576,123456,2,drake,1,193.471942
1,uniform-random,1048576,123456,2,drake,2,201.502006
1,uniform-random,4194304,123456,1,parallel,1,722.333096
1,uniform-random,4194304,123456,1,parallel,2,787.330803
1,uniform-random,4194304,123456,1,drake,1,808.882132
1,uniform-random,4194304,123456,1,drake,2,801.490295
1,uniform-random,4194304,123456,2,parallel,1,727.896012
1,uniform-random,4194304,123456,2,parallel,2,730.432594
1,uniform-random,4194304,123456,2,drake,1,888.312692
1,uniform-random,4194304,123456,2,drake,2,811.414453
1,uniform-random,16777216,123456,1,parallel,1,3105.844805
1,uniform-random,16777216,123456,1,parallel,2,3283.280363
1,uniform-random,16777216,123456,1,drake,1,3574.938342
1,uniform-random,16777216,123456,1,drake,2,3451.417628
1,uniform-random,16777216,123456,2,parallel,1,3084.534790
1,uniform-random,16777216,123456,2,parallel,2,3017.712966
1,uniform-random,16777216,123456,2,drake,1,3522.965693
1,uniform-random,16777216,123456,2,drake,2,3457.445615
1,increasing,1048576,123456,1,parallel,1,74.916914
1,increasing,1048576,123456,1,parallel,2,69.277176
1,increasing,1048576,123456,1,drake,1,92.154892
1,increasing,1048576,123456,1,drake,2,98.012821
1,increasing,4194304,123456,1,parallel,1,287.380754
1,increasing,4194304,123456,1,parallel,2,285.884283
1,increasing,4194304,123456,1,drake,1,396.316008
1,increasing,4194304,123456,1,drake,2,391.243540
1,increasing,16777216,123456,1,parallel,1,1188.696027
1,increasing,16777216,123456,1,parallel,2,1283.326877
1,increasing,16777216,123456,1,drake,1,1880.238886
1,increasing,16777216,123456,1,drake,2,1741.556999
1,decreasing,1048576,123456,1,parallel,1,103.754320
1,decreasing,1048576,123456,1,parallel,2,104.324384
1,decreasing,1048576,123456,1,drake,1,127.433492
1,decreasing,1048576,123456,1,drake,2,130.812250
1,decreasing,4194304,123456,1,parallel,1,434.096198
1,decreasing,4194304,123456,1,parallel,2,441.145242
1,decreasing,4194304,123456,1,drake,1,539.566159
1,decreasing,4194304,123456,1,drake,2,577.997013
1,decreasing,16777216,123456,1,parallel,1,1820.430974
1,decreasing,16777216,123456,1,parallel,2,1836.545237
1,decreasing,16777216,123456,1,drake,1,2353.975488
1,decreasing,16777216,123456,1,drake,2,2305.073528
1,constant,1048576,123456,1,parallel,1,2.506480
1,constant,1048576,123456,1,parallel,2,2.517306
1,constant,1048576,123456,1,drake,1,5.159492
1,constant,1048576,123456,1,drake,2,5.008909
1,constant,4194304,123456,1,parallel,1,10.170846
1,constant,4194304,123456,1,parallel,2,11.233657
1,constant,4194304,123456,1,drake,1,19.631032
1,constant,4194304,123456,1,drake,2,23.312284
1,constant,16777216,123456,1,parallel,1,40.410993
1,constant,16777216,123456,1,parallel,2,47.636252
1,constant,16777216,123456,1,drake,1,76.893070
1,constant,16777216,123456,1,drake,2,79.346259
